ID,工作项类型,严重程度,标题,状态,负责人,截止日期,预估工时（小时）,已登记工时（小时）,剩余工时（小时）,重新打开-停留次数,创建者,创建时间,所属项目
#9392,缺陷,Major,ST[BID&IDA]AT+GTBID中配置ELA、WID310持续扫描，设备熄火会一直上报report type为1和2的GTIDA报文,待讨论,ying.xiong-HFSW,,0h,0h,0h,1,sandy.wu-HFST,2024/1/25 15:36,GV350CEU_MCT
#9390,缺陷,Critical,ST[IDA]AT+GTIDA中参数ID Validity Time配置为0，Timeout after Ignition Off为非0，重启设备后ID Validity Time=Timeout after Ignition Off,关闭,ying.xiong-HFSW,,0h,0h,0h,0,sandy.wu-HFST,2024/1/25 15:22,GV350CEU_MCT
#9366,缺陷,Critical,ST[GTIDA]同版本FOTA升级ID Validity Time参数不保存,关闭,ying.xiong-HFSW,,10h,0h,10h,0,leon.zhou-HFST,2024/1/25 10:42,GV355CEU
#9287,缺陷,Critical,ST[IDA]AT+GTIDA命令中参数Timeout after Ignition Off为0，ID Filt Mode为1，设备熄火刷授权卡点火再熄火后取下授权卡，没有立即上报解除授权的GTIDA报文,关闭,ying.xiong-HFSW,,0h,0h,0h,0,sandy.wu-HFST,2024/1/23 11:28,GV350CEU_MCT
#9286,缺陷,Critical,ST[IDA]AT+GTIDA中参数ID Validity Time为0时命令下发失败,关闭,ying.xiong-HFSW,,8h,6h,2h,0,sandy.wu-HFST,2024/1/23 11:17,GV350CEU_MCT
#9161,缺陷,Major,ST[CAN]CAN报文Total Engine Hours/Total Driving Time/Total Engine Idle Time不带单位，协议不一致,关闭,ying.xiong-HFSW,,0h,0h,0h,0,kivi.luo-HFST,2024/1/18 19:15,GV57CEU
#9035,需求,,SW[BB-GV355CEU] add new the RESP:GTIDA reporting logic [Monito],NO_FEEDBACK,ying.xiong-HFSW,2024/1/31,0h,0h,0h,,penny.pei,2024/1/16 10:04,GV355CEU
#8877,缺陷,Critical,ST[TOW]设备熄火状态触发TOW报文，实际移动状态但不更新经纬度,已修复,ying.xiong-HFSW,,16h,12h,4h,0,mika.li-HFST,2024/1/10 17:29,GMT200N_MOB
#8841,缺陷,Major,ST[CMS]设备拍照上报的PHD中数据错误，导致与其它照片相比有一端很模糊,关闭,ying.xiong-HFSW,,16h,4h,12h,0,abel.xiang-HFST,2024/1/10 10:19,GV310LAU
#8773,缺陷,Major,ST[TTR]GTTRE报文上报Request ID为一位且十进制格式，与文档不符,关闭,ying.xiong-HFSW,,1h,1h,0h,0,anna.kong-HFST,2024/1/9 10:23,GV300CAN_MOB
#8610,需求,,SW[BB-GV350CEU] adjust the RESP:GTIDA reporting logic [MachinesTalk],关闭,ying.xiong-HFSW,2024/1/26,0h,0h,0h,,penny.pei,2024/1/4 15:05,GV350CEU_MCT
#8568,缺陷,Major,ST[GTBTS]Bluetooth Name默认值和协议不一致,已修复,ying.xiong-HFSW,,4h,0h,4h,1,leon.zhou-HFST,2024/1/3 16:36,GV355CEU_MOB
#8527,缺陷,Critical,ST[GTSPE]hex格式的GTSPE报文格式没有上报Report ID / Report Type,关闭,ying.xiong-HFSW,,24h,4h,4h,0,reese.wang-HFST,2024/1/2 17:39,GV350CEU
#8510,缺陷,Critical,ST[IDA]Timeout After Ignition Off设置为0时，点火授权后，设备重启，设备会失去授权,关闭,ying.xiong-HFSW,,8h,4h,4h,0,drake.yao-HFST,2024/1/2 11:34,GV56_MOB
#8458,缺陷,Critical,ST[BLP&HEX]HEX格式的GTBLP报文中Output ID上报为0-4，与协议定义1-5不一致,关闭,ying.xiong-HFSW,,4h,0h,4h,0,sandy.wu-HFST,2023/12/28 19:29,GV350CEU_MCT
#8395,任务,,GV350CEU：Autotrac定制参数包20231228,已完成,ying.xiong-HFSW,,7h,7h,0h,,willie.liu-HFPM,2023/12/28 9:21,GV350CEU
#7920,缺陷,Major,ST[FTP] Oper Type为0/1时，上传照片过程中重启后不会重传,待讨论,ying.xiong-HFSW,,5h,5h,0h,0,freda.wang-HFST,2023/12/15 15:56,GV75LAU
#7608,缺陷,Major,ST[GTHBM]设备发生左(右)急加/减速转弯，较难触发上报GTHBE对应类型报文,待处理,ying.xiong-HFSW,,0h,0h,0h,0,vicky.huang-HFST,2023/12/7 17:18,GV350CEU_WFS
#7406,FAE_BUG,,SW[BB-GV300CAN] Incorrect DDD file [Mobiliz],NO_FEEDBACK,ying.xiong-HFSW,,52h,9h,43h,,dylan.bai,2023/12/1 13:41,GV300CAN_MOB
#7403,缺陷,Major,ST[GTTAP] GTTAP中的camera ID配置错误下发拍照，实际未执行无照片上传，但OUPUT有输出,关闭,ying.xiong-HFSW,,4h,4h,0h,0,diana.ye-HFST,2023/12/1 13:34,GV310LAU
#7360,缺陷,Major,ST[CFG]配置点火充电，设备在熄火状态下仍可充电,关闭,ying.xiong-HFSW,,4h,0h,4h,0,abel.xiang-HFST,2023/11/30 14:10,GV310LAU
#7249,PROTOCOL,,GTPEO命令扩展<GEO ID>到200，增加GTPEG命令,已完成,ying.xiong-HFSW,2023/12/22,3h,1h,2h,,elvin.shen-HFSW,2023/11/28 11:39,GV350CEU
#7207,缺陷,Major,ST[GTTAP] GTTAP中的camera ID配置错误下发拍照，实际未执行无照片上传，但OUPUT有输出,关闭,ying.xiong-HFSW,,0h,0h,0h,0,alisa.zong-HFST,2023/11/27 14:19,GV350CEU
#7193,缺陷,Major,ST[QMS]设备不接内电池，HEX格式GTDMR报文内电池电压值上报为0,关闭,ying.xiong-HFSW,,3h,2h,1h,0,vicky.huang-HFST,2023/11/27 10:27,GV350CEU
#7117,缺陷,Major,ST[CAN]CAN报文Total Engine Hours/Total Driving Time/Total Engine Idle Time上报不统一，有的带单位，有的不带单位，且小数点位数也与协议不一致,关闭,ying.xiong-HFSW,,8h,4h,4h,0,shyla.wu-HFST,2023/11/23 16:40,GV57CG
#7058,FAE_BUG,,SW[BB-GV300CAN_MOB]The device is rejecting the firmware upgrade[Mobiliz],RESOLVED,ying.xiong-HFSW,,0h,0h,0h,,dylan.bai,2023/11/22 9:32,GV300CAN_MOB
#7003,缺陷,Major,ST[GTHBD]<SACK Enable>为0时，关闭服务器SACK:HBD，会上报两条HBD报文，间隔30s,关闭,ying.xiong-HFSW,,6h,6h,0h,0,reese.wang-HFST,2023/11/20 15:46,GV350CEU
#6979,需求,,"GV350CEU_WFS, as disscussed in Wechat, we would need to intruduce releable way of identifieing headings of turns reported",NO_FEEDBACK,ying.xiong-HFSW,,20h,5h,15h,,imaric,2023/11/17 17:01,GV350CEU_WFS
#6962,需求,,SW[GV350CEU] Polygon Geofence Group integration [Hunter],NO_FEEDBACK,ying.xiong-HFSW,2023/12/22,40h,4h,36h,,felipe.mendez,2023/11/17 3:46,GV350CEU
#6691,需求,,SW[GV300CAN_MOB]New option for DDD file content[Mobiliz],RESOLVED,ying.xiong-HFSW,2023/12/8,0h,0h,0h,,dylan.bai,2023/11/9 11:42,GV300CAN_MOB
#6636,FAE_BUG,,SW[BB-GV300CAN_MOB]DDD download process[Mobiliz],RESOLVED,ying.xiong-HFSW,2023/11/17,0h,0h,0h,,dylan.bai,2023/11/8 9:30,GV300CAN_MOB
#6323,缺陷,Major,ST[OTHER]设备连接主串，串口一直在上报CSON,关闭,ying.xiong-HFSW,,0h,0h,0h,0,secret.wang-HFST,2023/10/27 9:44,GV350CEU_WFS
#6053,FAE_BUG,,SW[GV310LAU_A04V10]The RS232 camera stops working[Barzel],RESOLVED,ying.xiong-HFSW,2023/12/15,0h,0h,0h,,hector,2023/10/19 7:32,GV310LAU
#5965,FAE_BUG,,SW[BB-GV300CAN_MOB]The device fail to download DDD file[Mobiliz],RESOLVED,ying.xiong-HFSW,,0h,0h,0h,,dylan.bai,2023/10/17 13:55,GV300CAN_MOB
#3674,缺陷,Major,ST[INF]协议中reserved位实际上报数据,关闭,ying.xiong-HFSW,,0h,2h,0h,0,dale.liang-HFST,2023/8/4 13:41,GV58CEU
#1847,缺陷,Critical,ST[GTCLT]GTCLT报文中不会上报<Inverse Alarm Mask 1>的配置,关闭,ying.xiong-HFSW,,8h,4h,4h,1,reese.wang-HFST,2023/6/14 16:20,GV350CEU
#1767,缺陷,Major,ST[HBD]将服务器HBD的SACK关闭，设置两分钟上报，上报间隔不准，间隔30s/1min上报,关闭,ying.xiong-HFSW,,15h,0h,15h,0,shyla.wu-HFST,2023/6/13 11:15,GV57CG
#340,缺陷,Critical,ST[HRM&RSP]Bit 31添加的Extend Mask Flag及CSQ RSSI / CSQ BER不起作用,关闭,ying.xiong-HFSW,,0h,0h,0h,0,shyla.wu-HFST,2023/4/19 13:37,GV57CG
#180,缺陷,Major,ST[UPC&QMS]短信下发QMS端的UPC升级指令，不响应,关闭,ying.xiong-HFSW,,0h,0h,0h,2,shyla.wu-HFST,2023/4/18 17:01,GV57CG
#10511,PROTOCOL,,根据3.12版本的qms协议，删除了GTUPC/GTFVR/HEX相关的内容,已完成,walker.wang-HFSW,,0h,0h,0h,,walker.wang-HFSW,2024/2/28 13:46,GL33
#10195,缺陷,Critical,ST[VMS&FOTA]A04V24及之前的归档版本配置VMS mode为1，FOTA升级/不擦除参数升级到A06V24，VMS依然为1,关闭,walker.wang-HFSW,,0h,0h,0h,0,sandy.wu-HFST,2024/2/20 19:01,GV350CEU
#10101,缺陷,Critical,ST[VVS]Ignition On Voltage2设值，输入电压高于60V之后，Ignition On Voltage2不生效,关闭,walker.wang-HFSW,,0h,2h,0h,0,shyla.wu-HFST,2024/2/6 17:19,GV50CG_ITR
#10077,缺陷,Major,ST[SOS]开启GTSOS功能，GTCFG的PIN mode从10切到0后，按digital input1不能触发GTSOS功能，必须要重新下发一次GTFSI指令,待处理,walker.wang-HFSW,,0h,0h,0h,0,ida.li-HFST,2024/2/5 18:53,GV50CG_LOA
#10061,缺陷,Critical,ST[VMS]VMS模式7，虚拟点火时Ignition report mode从1切换为0会立刻虚拟熄火，上报GTIGF,关闭,walker.wang-HFSW,,0h,0h,0h,0,shyla.wu-HFST,2024/2/5 15:45,GV50CG_ITR
#9998,缺陷,Critical,ST[报文]GTFRI/GTINF/GTERI报文格式与协议不一致,关闭,walker.wang-HFSW,,0h,3h,0h,0,ida.li-HFST,2024/2/5 14:04,GV50CG_LOA
#9963,缺陷,Major,ST[FSC]速度大于GTFSC的Speed值，下发GTFSC指令后重启设备，重启后速度小于GTFSC的Speed值，没有上报GTFSC报文,关闭,walker.wang-HFSW,,0h,3h,0h,0,ida.li-HFST,2024/2/4 16:44,GV50CG_LOA
#9836,缺陷,Critical,ST[VMS]Voltage Idle Vehicle Event和Virtual Ignition Flag为1，之后关闭Voltage Idle Vehicle Event，熄火电压达到虚拟点火条件，不会进入虚拟点火，必须重启或者进行一次点熄火切换,关闭,walker.wang-HFSW,,0h,1h,0h,0,shyla.wu-HFST,2024/2/2 19:08,GV50CG_ITR
#9820,缺陷,Major,ST[FSC]设备在Full Service Logic State为0是下发Sub Command Argument为0指令不会上报GTFSC报文，与GV50_LOA表现不一致,关闭,walker.wang-HFSW,,0h,2h,0h,0,ida.li-HFST,2024/2/2 17:02,GV50CG_LOA
#9811,任务,,AT+GTVVS参数范围调整,已完成,walker.wang-HFSW,,0h,1h,0h,,walker.wang-HFSW,2024/2/2 15:51,GV50CG_ITR
#9791,缺陷,Critical,ST[SOS]GTSOS部分参数实际下发范围与协议不一致,关闭,walker.wang-HFSW,,0h,1h,0h,0,ida.li-HFST,2024/2/2 10:31,GV50CG_LOA
#9778,缺陷,Critical,ST[SOS]GTSOS查询参数与协议不一致,关闭,walker.wang-HFSW,,0h,1h,0h,0,ida.li-HFST,2024/2/1 19:10,GV50CG_LOA
#9695,缺陷,Major,"ST[VMS]Validate Motor On/Off为1，开启VMS的Voltage Idle Vehicle Event参数，进入空转之后关闭Voltage Idle Vehicle Event，调节电压虚拟点火之后调节电压无法熄火,切换一次正常",关闭,walker.wang-HFSW,,0h,0h,0h,0,shyla.wu-HFST,2024/1/31 17:23,GV50CG_ITR
#9526,缺陷,Critical,ST[FSC]速度大于GTFSC里的speed，下发GTFSC指令会立马上报一条GTFSC报文,关闭,walker.wang-HFSW,,0h,7h,0h,0,ida.li-HFST,2024/1/29 18:55,GV50CG_LOA
#9523,缺陷,Critical,"ST[FSC]下发GTFSC指令进入Full Service Logic State:4,OUTPUT1不会亮",关闭,walker.wang-HFSW,,0h,2h,0h,0,ida.li-HFST,2024/1/29 17:33,GV50CG_LOA
#9521,缺陷,Major,ST[DOG]Track端服务器关闭，DMS配置上报到平台，无法触发06类型DOG重启,待处理,walker.wang-HFSW,,0h,0h,0h,0,ida.li-HFST,2024/1/29 17:13,GV50CG_LOA
#9340,缺陷,Major,ST[STT]出现一台设备不能熄火,关闭,walker.wang-HFSW,,0h,3h,0h,0,bella.ge-HFST,2024/1/24 11:27,GV50CME
#9268,缺陷,Major,ST[GTVMS]配置<Voltage Idle Vehicle Event>和Virtual Ignition Flag为1，设备在硬件熄火状态下关闭<Voltage Idle Vehicle Event>之后不能进入虚拟点熄火的判断,已修复,walker.wang-HFSW,,0h,3h,0h,0,daisy.yu-HFST,2024/1/22 16:48,GV57CG
#9261,缺陷,Major,ST[GTVMS]配置<Voltage Idle Vehicle Event>为1，设备在点火状态下切换VMS模式之后，首次熄火电压满足条件不上报VGF需要点火再次熄火满足电压上报VGF,已修复,walker.wang-HFSW,,0h,3h,0h,0,daisy.yu-HFST,2024/1/22 15:53,GV57CG
#9236,缺陷,Major,"ST[VVS]当输入电压超过28V,电压自校准功能不生效",关闭,walker.wang-HFSW,,0h,5h,0h,0,ice.zhou-HFST,2024/1/22 11:39,GV75LAU
#9169,缺陷,Major,ST[AIS]AIS功能开启，GTCFG的pin mode从10切换到0，操作input1不会上报GTFSI:2X报文，需要重启设备,待处理,walker.wang-HFSW,,0h,0h,0h,0,ida.li-HFST,2024/1/19 10:54,GV50CG_LOA
#9164,缺陷,Major,ST[短信]通过短信下发AT指令前面加特殊字符，设备网络灯熄灭报文不上报，必须要断电重启,关闭,walker.wang-HFSW,,0h,1h,0h,0,ida.li-HFST,2024/1/18 19:57,GV50CG_LOA
#9163,缺陷,Major,ST[DOG]Track端服务器关闭，DMS配置上报到平台后再将mode设置为0，无法触发06类型DOG重启,关闭,walker.wang-HFSW,,0h,3h,0h,0,ida.li-HFST,2024/1/18 19:46,GV50CG_LOA
#9120,缺陷,Major,ST[DOS]Overspeed Restrict Output为非0时，Long Operation参数不起作用,关闭,walker.wang-HFSW,,0h,2h,0h,0,ida.li-HFST,2024/1/17 20:00,GV50CG_LOA
#9117,缺陷,Major,"ST[VVS]当输入电压超过28V,自校准功能不生效",关闭,walker.wang-HFSW,,0h,0.5h,0h,1,kivi.luo-HFST,2024/1/17 18:55,GV57CEU
#9115,缺陷,Major,"ST[VVS]当输入电压超过28V,自校准功能不生效",关闭,walker.wang-HFSW,,0h,0.5h,0h,0,shyla.wu-HFST,2024/1/17 18:12,GV57CEU_ITR
#9110,缺陷,Major,ST[OWL]  使用客户卡，切换mode或者plmn，设备一直搜不到网络,关闭,walker.wang-HFSW,,0h,2h,0h,0,diana.ye-HFST,2024/1/17 16:49,GV310LAU
#8850,缺陷,Critical,ST[IMC]IMC功能未实现,关闭,walker.wang-HFSW,,0h,1h,0h,0,ida.li-HFST,2024/1/10 13:23,GV50CG_LOA
#8849,缺陷,Major,"ST[ASC]设备上报GTASC报文后，RTO重启设备，RTO-25,0上报GTSCS的Self Calibration Status为1",关闭,walker.wang-HFSW,,0h,2h,0h,0,ida.li-HFST,2024/1/10 13:21,GV50CG_LOA
#8833,缺陷,Major,"ST[PMS]power saving mode为1/2,PMS的check interval大于等于60时，熄火GPS依然常开",关闭,walker.wang-HFSW,,0h,2h,0h,0,ida.li-HFST,2024/1/9 19:09,GV50CG_LOA
#8823,缺陷,Critical,ST[Full Service Logic State]由于客户确认删除GTFSS，故报文中包含Full Service Logic State值需修改为reserved,关闭,walker.wang-HFSW,,0h,2h,0h,0,ida.li-HFST,2024/1/9 17:17,GV50CG_LOA
#8799,缺陷,Critical,ST[PMS]PMS功能开启，熄火画圈后，熄火出两个圈不上报GTPMS:0报文,关闭,walker.wang-HFSW,,0h,0.5h,0h,0,ida.li-HFST,2024/1/9 15:00,GV50CG_LOA
#8757,缺陷,Critical,ST[AIS]Sample Rate默认值为0与协议不一致,关闭,walker.wang-HFSW,,0h,1h,0h,0,ida.li-HFST,2024/1/8 17:36,GV50CG_LOA
#8756,缺陷,Major,ST[DOS]GTDOS中Long Operation在其他项目上只针对非output1，GV50CGLOA项目上只有一个输出，请确认GV50CGLOA是否需要添加此参数,关闭,walker.wang-HFSW,,0h,0h,0h,0,ida.li-HFST,2024/1/8 17:33,GV50CG_LOA
#8751,缺陷,Critical,"ST[GTVVS]从A04V22不擦除参数升级到A05V03,GTVVS命令未保存参数，恢复默认值",关闭,walker.wang-HFSW,,0h,4h,0h,0,anna.kong-HFST,2024/1/8 17:05,GV305CEU
#8749,缺陷,Major,ST[FRI]回读GTFRI配置，最后一个reserved位为0,关闭,walker.wang-HFSW,,0h,0.5h,0h,0,ida.li-HFST,2024/1/8 16:50,GV50CG_LOA
#8708,缺陷,Critical,ST[get position]手机下发get position没有上报谷歌短信,关闭,walker.wang-HFSW,,0h,2h,0h,0,ida.li-HFST,2024/1/8 11:38,GV50CG_LOA
#8689,缺陷,Major,ST[FSI]GTFSI和GTAIS里的sample period都置为非0时，调整模拟输入电压，报文中电压值不会改变,关闭,walker.wang-HFSW,,0h,6h,0h,0,ida.li-HFST,2024/1/5 17:17,GV50CG_LOA
#8678,缺陷,Major,ST[FSI]PDS的mask为40时，点火和数字输入置为触发态，PDS的mode从1切到0或者2时重启设备，不会上报GTFSI:D11报文,重新打开,walker.wang-HFSW,,0h,8.5h,0h,2,ida.li-HFST,2024/1/5 15:14,GV50CG_LOA
#8634,缺陷,Major,ST[FSI]概率性出现FSI的digital input ID2的Enable从0切换为1后，将数字输入置为触发态，没有上报GTFSI:D21报文,待处理,walker.wang-HFSW,,0h,0h,0h,0,ida.li-HFST,2024/1/4 19:18,GV50CG_LOA
#8587,缺陷,Critical,ST[FOTA]FOTA升级设备死机，必须要用aboot production升级才能恢复,关闭,walker.wang-HFSW,,0h,3h,0h,0,ida.li-HFST,2024/1/4 11:11,GV50CG_LOA
#8566,缺陷,Critical,ST[VVS]GV57CEU已经支持宽电压但是GTVVS中Ignition On Voltage最大值仍是28000,关闭,walker.wang-HFSW,,0h,0.5h,0h,0,freda.wang-HFST,2024/1/3 16:07,GV57CEU
#8546,缺陷,Major,ST[PMS]power saving mode为1/2，开启PMS功能，熄火定位成功未出圈，关闭PMS功能，GPS一直开启不关闭,关闭,walker.wang-HFSW,,0h,9h,0h,2,ida.li-HFST,2024/1/3 11:53,GV50CG_LOA
#8541,缺陷,Major,ST[PMS]设备开启PMS熄火定位成功后未出圈重启设备一直定位失败，会上报GTPMS报文,关闭,walker.wang-HFSW,,0h,2h,0h,0,ida.li-HFST,2024/1/3 10:51,GV50CG_LOA
#8490,缺陷,Major,ST[PMS]设备熄火画圈后点火出圈上报GTPMS:0报文，RTO重启设备，满足条件后又会上报GTPMS:0报文,关闭,walker.wang-HFSW,,0h,3h,0h,0,ida.li-HFST,2023/12/29 15:32,GV50CG_LOA
#8416,缺陷,Major,ST[FSA]无法触发GTFSA:5类型报文,关闭,walker.wang-HFSW,,0h,0h,0h,0,ida.li-HFST,2023/12/28 11:35,GV50CG_LOA
#8407,缺陷,Major,ST[FSS&FSC]设备由Automatic Fuel Shutoff Initiation状态切换为Automatic Fuel Shutoff时output1闪灭一下没有维持常亮,关闭,walker.wang-HFSW,,0h,0h,0h,0,ida.li-HFST,2023/12/28 10:54,GV50CG_LOA
#8376,缺陷,Major,ST[FSS&FSC]设备由disarmed/Automatic Fuel Shutoff Initiation状态切换为Manual Fuel shutoff and Force Fuel shutoff时output1闪灭一下没有维持常亮,关闭,walker.wang-HFSW,,0h,0h,0h,0,ida.li-HFST,2023/12/27 15:46,GV50CG_LOA
#8364,缺陷,Critical,ST[异常重启]PDS的bit5勾选，mode为1，RTO重启后设备会不停重启，必须要擦除参数升级才能恢复,关闭,walker.wang-HFSW,,0h,3h,0h,0,ida.li-HFST,2023/12/27 14:13,GV50CG_LOA
#8349,缺陷,Major,ST[FSI]CFG的pin mode为10时，调整模拟输入电压，不能触发GTFSI:A2X报文,关闭,walker.wang-HFSW,,0h,2h,0h,1,ida.li-HFST,2023/12/27 11:33,GV50CG_LOA
#8341,缺陷,Critical,ST[Analog Input]GTCFG的pin mode为10时，调整模拟输入外电压值，实际GTFRI/GTERI/GTINF/GTIOS报文里的anolog input VCC一直为0,关闭,walker.wang-HFSW,,0h,3h,0h,0,ida.li-HFST,2023/12/27 10:15,GV50CG_LOA
#8332,缺陷,Critical,ST[AIS]GTAIS报文格式与协议不一致,关闭,walker.wang-HFSW,,0h,1h,0h,0,ida.li-HFST,2023/12/26 18:36,GV50CG_LOA
#8200,缺陷,Major,ST[SPD]设备定位失败，仍会上报SPD报文,关闭,walker.wang-HFSW,,0h,2h,0h,0,freda.wang-HFST,2023/12/22 14:46,GV75LAU
#8013,缺陷,Critical,ST[RTO]RTO查询部分报文与协议不一致,关闭,walker.wang-HFSW,,0h,2h,0h,0,ida.li-HFST,2023/12/19 16:37,GV50CG_LOA
#8007,缺陷,Critical,ST[CFG]CFG的pin mode为10时，使用anolog input时，报文里的Analog Input和digital input值错误,关闭,walker.wang-HFSW,,0h,10h,0h,0,ida.li-HFST,2023/12/19 15:32,GV50CG_LOA
#8005,缺陷,Critical,ST[报文]报文的device status状态与设备实际状态不一致,关闭,walker.wang-HFSW,,0h,3h,0h,0,ida.li-HFST,2023/12/19 15:19,GV50CG_LOA
#8001,缺陷,Major,ST[UDF]Inzizo Mask/Outzizo Mask/Inpeo Mask/Outpeo Mask参数位和Input ID Mask的bit40/41未修改为reserved,关闭,walker.wang-HFSW,,0h,1.5h,0h,1,ida.li-HFST,2023/12/19 14:40,GV50CG_LOA
#7998,缺陷,Major,ST[JBS]GTJBS的Enable Siren回读为reserved,关闭,walker.wang-HFSW,,0h,1h,0h,1,ida.li-HFST,2023/12/19 14:20,GV50CG_LOA
#7896,任务,,移植AT+GTPMS功能,已完成,walker.wang-HFSW,,0h,1h,0h,,walker.wang-HFSW,2023/12/15 10:34,GV50CG_LOA
#7895,任务,,移植AT+GTFSS功能,关闭,walker.wang-HFSW,,0h,0h,0h,,walker.wang-HFSW,2023/12/15 10:34,GV50CG_LOA
#7894,任务,,移植AT+GTFSI功能,已完成,walker.wang-HFSW,,0h,1h,0h,,walker.wang-HFSW,2023/12/15 10:34,GV50CG_LOA
#7893,任务,,移植AT+GTFSC功能,关闭,walker.wang-HFSW,,0h,0h,0h,,walker.wang-HFSW,2023/12/15 10:33,GV50CG_LOA
#7892,任务,,GPIO相关调整,已完成,walker.wang-HFSW,,0h,1h,0h,,walker.wang-HFSW,2023/12/15 10:29,GV50CG_LOA
#7888,任务,,AT+GTUDF <Input ID Mask>调整,已完成,walker.wang-HFSW,,0h,0h,0h,,walker.wang-HFSW,2023/12/15 10:27,GV50CG_LOA
#7887,任务,,AT+GTRTO <Sub Command> <ATI Mask>调整,已完成,walker.wang-HFSW,,0h,1h,0h,,walker.wang-HFSW,2023/12/15 10:27,GV50CG_LOA
#7885,任务,,AT+GTPDS <Mask>调整,已完成,walker.wang-HFSW,,0h,1h,0h,,walker.wang-HFSW,2023/12/15 10:27,GV50CG_LOA
#7884,任务,,AT+GTCFG <Event Mask>调整,已完成,walker.wang-HFSW,,0h,1h,0h,,walker.wang-HFSW,2023/12/15 10:26,GV50CG_LOA
#7882,任务,,AT+GTHMC命令调整,已完成,walker.wang-HFSW,,0h,1h,0h,,walker.wang-HFSW,2023/12/15 10:25,GV50CG_LOA
#7880,任务,,AT+GTDOS命令调整,已完成,walker.wang-HFSW,,0h,1h,0h,,walker.wang-HFSW,2023/12/15 10:25,GV50CG_LOA
#7875,任务,,AT+GTCFG命令调整,已完成,walker.wang-HFSW,,0h,1h,0h,,walker.wang-HFSW,2023/12/15 10:22,GV50CG_LOA
#7874,任务,,AT+GTQSS命令调整,已完成,walker.wang-HFSW,,0h,0h,0h,,walker.wang-HFSW,2023/12/15 10:21,GV50CG_LOA
#7871,任务,,GV50CG_LOA协议调整,已完成,walker.wang-HFSW,2024/1/19,2h,6h,0h,,walker.wang-HFSW,2023/12/15 10:09,GV50CG_LOA
#7477,需求,,SW[GV50CG_LOA] Firmware,NO_RESPONSE,walker.wang-HFSW,2024/2/6,0h,24.5h,0h,,david.glz,2023/12/5 4:26,GV50CG_LOA
#7355,缺陷,Major,"ST[VVS]外电压最大支持90000mv,VVS命令中仍为28000 mV",已修复,walker.wang-HFSW,,0h,1h,0h,0,shyla.wu-HFST,2023/11/30 13:44,GV57CG
#6358,缺陷,Major,ST[OWL]设备配置相匹配的应用商开启OWL mode2后，在开启mode 1，设备报文不上报，没有进行搜网操作，设备重启后才上报报文,关闭,walker.wang-HFSW,,0h,1h,0h,1,bella.ge-HFST,2023/10/27 18:00,GV305CEU
#3023,缺陷,Critical,ST[GTCRA]按照协议下发CRA指令返回ERROR，查询参数位和协议一致，若在指令最后添加一个Reserved指令可以下发成功,关闭,walker.wang-HFSW,,2h,1h,1h,0,ciara.bai-HFST,2023/7/18 15:39,GV500CG
